"Date","Price","Open","High","Low"
"Feb 25, 2019","8879.82","8925.05","8940.00","8866.31"
"Feb 22, 2019","8915.08","8896.33","8951.18","8878.10"
"Feb 21, 2019","8892.89","8994.83","9015.05","8885.16"
"Feb 20, 2019","8996.53","9063.04","9088.85","8987.93"
"Feb 19, 2019","9067.03","8978.35","9073.59","8967.07"
"Feb 18, 2019","8978.67","8948.48","8988.08","8941.99"
"Feb 15, 2019","8949.92","8894.90","8960.53","8886.77"
"Feb 14, 2019","8888.38","8828.67","8905.37","8828.67"
"Feb 13, 2019","8830.33","8880.30","8913.48","8820.94"
"Feb 12, 2019","8879.36","8882.10","8903.80","8854.45"
"Feb 11, 2019","8885.55","8867.36","8904.15","8852.93"
"Feb 08, 2019","8863.10","8833.91","8874.23","8816.99"
"Feb 07, 2019","8837.00","8812.52","8851.17","8784.95"
"Feb 06, 2019","8812.05","8869.69","8877.32","8806.52"
"Feb 05, 2019","8871.20","8850.70","8883.81","8839.57"
"Feb 04, 2019","8850.19","8891.12","8899.55","8828.55"
"Feb 01, 2019","8889.65","8845.98","8914.43","8837.27"
"Jan 31, 2019","8859.00","8871.02","8898.77","8833.84"
"Jan 30, 2019","8863.83","8834.52","8893.10","8792.90"
"Jan 29, 2019","8829.53","8796.18","8839.17","8788.83"
"Jan 28, 2019","8792.50","8797.44","8801.40","8753.42"
"Jan 25, 2019","8793.15","8690.00","8796.32","8671.35"
"Jan 24, 2019","8697.23","8716.57","8734.50","8678.84"
"Jan 23, 2019","8712.27","8756.08","8756.08","8679.42"
"Jan 22, 2019","8749.50","8694.25","8754.00","8680.95"
"Jan 21, 2019","8703.35","8692.20","8726.41","8679.94"
"Jan 18, 2019","8686.89","8756.13","8764.92","8680.70"
"Jan 17, 2019","8753.08","8739.36","8775.07","8735.99"
"Jan 16, 2019","8740.60","8722.73","8751.34","8711.40"
"Jan 15, 2019","8720.67","8741.59","8753.75","8695.58"
"Jan 14, 2019","8739.58","8705.34","8774.53","8701.02"
"Jan 11, 2019","8710.75","8738.05","8759.15","8704.66"
"Jan 10, 2019","8732.73","8814.59","8825.57","8731.03"
"Jan 09, 2019","8814.62","8810.12","8824.85","8744.55"
"Jan 08, 2019","8810.13","8828.58","8843.03","8766.62"
"Jan 07, 2019","8831.90","8834.51","8878.44","8810.54"
"Jan 04, 2019","8826.38","8892.07","8924.98","8772.95"
"Jan 03, 2019","8896.97","8835.96","8904.39","8820.87"
"Jan 02, 2019","8814.31","8819.60","8841.20","8776.78"
"Jan 01, 2019","8822.47","8822.47","8822.47","8822.47"
"Dec 31, 2018","8822.47","8807.48","8835.67","8786.92"
"Dec 28, 2018","8809.64","8757.82","8811.77","8749.59"
"Dec 27, 2018","8753.43","8726.58","8786.73","8718.19"
"Dec 26, 2018","8724.15","8751.52","8810.27","8709.35"
"Dec 25, 2018","8740.69","8752.10","8754.38","8727.11"
"Dec 24, 2018","8755.85","8695.42","8762.75","8689.81"
"Dec 21, 2018","8674.64","8674.33","8717.25","8656.41"
"Dec 20, 2018","8673.82","8569.37","8722.07","8568.06"
"Dec 19, 2018","8566.63","8613.22","8671.98","8556.91"
"Dec 18, 2018","8615.33","8591.51","8626.34","8586.58"
"Dec 17, 2018","8593.05","8546.56","8611.05","8527.85"
"Dec 14, 2018","8553.12","8542.21","8568.55","8513.68"
"Dec 13, 2018","8547.25","8571.74","8579.50","8534.67"
"Dec 12, 2018","8569.39","8575.94","8592.98","8553.12"
